mr,ref,alignment
"inform(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], genres[adventure, role-playing])","The Elder Scrolls V: Skyrim is an adventure, role-playing game developed by Bethesda Studios. The game was released in 2011 with a rating of M (for Mature).",(0: da) (0: name) (35: genres) (122: releaseyear) (152: esrb)
"inform(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], genres[adventure, role-playing])",The Elder Scrolls V: Skyrim is an adventure RPG that came out in 2011. It's rated M (for Mature).,(0: da) (0: name) (35: genres) (66: releaseyear) (77: esrb)
"recommend(name[Super Mario World], genres[platformer], player_perspective[side view])","You know, if you want a side view platformer there's always Super Mario World. Have you played it before?",(0: da) (24: playerperspective) (35: genres) (62: name)
"recommend(name[Super Mario World], genres[platformer], player_perspective[side view])","If you're after a side scrolling platformer, Super Mario World is a fun game. Have you ever played it before?",(0: da) (19: playerperspective) (34: genres) (47: name)
"recommend(name[Super Mario World], genres[platformer], player_perspective[side view])",Are you familiar with Super Mario World? It's this delightful side view platformer.,(0: da) (22: name) (64: playerperspective) (74: genres)
"give_opinion(name[World of Warcraft], developer[Blizzard Entertainment], rating[good])",World of Warcraft is a fun game. Blizzard Entertainment is a developer that knows what they're doing and always produces a solid product.,(0: da) (0: name) (23: rating) (34: developer)
"give_opinion(name[World of Warcraft], developer[Blizzard Entertainment], rating[good])","Blizzard Entertainment did a good job with World of Warcraft, I liked playing it.",(0: da) (0: developer) (29: rating) (43: name)
"give_opinion(name[World of Warcraft], developer[Blizzard Entertainment], rating[good])",World of Warcraft is a really good game from Blizzard Entertainment.,(0: da) (0: name) (30: rating) (45: developer)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], player_perspective[third person])","I was curious, do you enjoy third person vehicular combat games, like for example MotorStorm: Apocalypse?",(0: da) (29: playerperspective) (42: genres) (84: name)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], player_perspective[third person])","Have you ever played a third person vehicular combat game, like MotorStorm: Apocalypse?",(0: da) (23: playerperspective) (36: genres) (65: name)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], player_perspective[third person])","So then do you also enjoy third person vehicular combat games, like MotorStorm: Apocalypse?",(0: da) (26: playerperspective) (39: genres) (69: name)
"confirm(name[Ancient Cities], developer[Uncasual Games], genres[simulation, strategy])","I'm guessing you mean Ancient Cities, the simulation strategy game developed by Uncasual Games?",(0: da) (23: name) (44: genres) (82: developer)
"confirm(name[Ancient Cities], developer[Uncasual Games], genres[simulation, strategy])","Ancient Cities, the strategy sim developed by Uncasual Games?",(0: da) (0: name) (21: genres) (47: developer)
"confirm(name[Ancient Cities], developer[Uncasual Games], genres[simulation, strategy])","Oh, you're talking about Ancient Cities, aren't you? The simulation strategy game from Uncasual Games?",(0: da) (27: name) (62: genres) (92: developer)
"inform(name[Age of Empires II: The Age of Kings], genres[real-time strategy], player_perspective[bird view], platforms[PlayStation, PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","Age of Empires II: The Age of Kings is a real-time strategy game with a bird view available for PlayStation, PC and Mac, but not Linux. You can't get it on Steam.",(0: da) (0: name) (42: genres) (73: playerperspective) (97: platforms) (117: hasmacrelease) (130: haslinuxrelease) (158: availableonsteam)
"inform(name[Age of Empires II: The Age of Kings], genres[real-time strategy], player_perspective[bird view], platforms[PlayStation, PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","Age of Empires II: The Age of Kings is a bird view real-time strategy game that was released for PlayStation and PC. It isn't available on Steam and doesn't have a Linux release, but it does have a Mac version.",(0: da) (0: name) (42: playerperspective) (52: genres) (98: platforms) (141: availableonsteam) (167: haslinuxrelease) (201: hasmacrelease)
"inform(name[Age of Empires II: The Age of Kings], genres[real-time strategy], player_perspective[bird view], platforms[PlayStation, PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","Age of Empires II: The Age of Kings is a real-time, bird view strategy game that can be played on PlayStation or PC. While it's not available on Steam and it doesn't have a Linux release, you can play it on Mac.",(0: da) (0: name) (42: genres) (53: playerperspective) (100: platforms) (147: availableonsteam) (176: haslinuxrelease) (210: hasmacrelease)
"suggest(name[Tetris], developer[Spectrum HoloByte, Inc.])","Do you like playing games developed by Spectrum HoloByte, Inc., games like Tetris?",(0: da) (77: name)
"suggest(name[Tetris], developer[Spectrum HoloByte, Inc.])","Have you tried any games from Spectrum HoloByte, Inc., like Tetris?",(0: da) (62: name)
"suggest(name[Tetris], developer[Spectrum HoloByte, Inc.])","If you don't mind me asking, have you ever played a game that was developed by Spectrum HoloByte, Inc., like for example Tetris?",(0: da) (125: name)
"give_opinion(name[Undertale], rating[excellent], player_perspective[bird view])",I loved Undertale. It really took advantage of the bird's eye view and did a lot of novel things in its genre.,(0: da) (2: rating) (8: name) (51: playerperspective)
"give_opinion(name[Undertale], rating[excellent], player_perspective[bird view])",I always love the bird's eye view in games because it's so easy to see everything - such as in games like Undertale.,(0: da) (9: rating) (18: playerperspective) (106: name)
"give_opinion(name[Undertale], rating[excellent], player_perspective[bird view])","I loved Undertale so, so much. The bird view perspective really helped the game and made it so fun and easy to play.",(0: da) (2: rating) (8: name) (35: playerperspective)
"inform(name[Tony Hawk's Pro Skater 3], release_year[2001], developer[Neversoft Entertainment], genres[sport], player_perspective[third person])","Tony Hawk's Pro Skater 3 is a sports game from 2001 by Neversoft Entertainment. In it, you perform skate-boarding tricks from a third person view.",(0: da) (0: name) (31: genres) (48: releaseyear) (56: developer) (131: playerperspective)
"inform(name[Tony Hawk's Pro Skater 3], release_year[2001], developer[Neversoft Entertainment], genres[sport], player_perspective[third person])",Tony Hawk's Pro Skater 3 is a third person sports game developed by Neversoft Entertainment and released in 2001.,(0: da) (0: name) (31: playerperspective) (44: genres) (69: developer) (109: releaseyear)
"inform(name[Tony Hawk's Pro Skater 3], release_year[2001], developer[Neversoft Entertainment], genres[sport], player_perspective[third person])",Tony Hawk's Pro Skater 3 is a sports game that was released in 2001 from Neversoft Entertainment. It is played primarily in third person view.,(0: da) (0: name) (31: genres) (64: releaseyear) (74: developer) (126: playerperspective)
"confirm(name[Horizon: Zero Dawn], genres[action-adventure, role-playing, shooter])","By Horizon: Zero Dawn, do you mean the action-adventure shooter with role-playing elements?",(0: da) (3: name) (41: genres)
"confirm(name[Horizon: Zero Dawn], genres[action-adventure, role-playing, shooter])","Do you mean Horizon: Zero Dawn, the action adventure RPG shooter?",(0: da) (12: name) (38: genres)
"confirm(name[Horizon: Zero Dawn], genres[action-adventure, role-playing, shooter])","Are we talking about the action-adventure shooter RPG, Horizon: Zero Dawn?",(0: da) (25: genres) (56: name)
"recommend(name[Super Bomberman], developer[Hudson Soft], platforms[PC])","Since you seem to be a fan of PC games by Hudson Soft, I thought you might like Super Bomberman too. Have you heard about the game?",(0: da) (30: platforms) (42: developer) (81: name)
"recommend(name[Super Bomberman], developer[Hudson Soft], platforms[PC])","While we're on the subject of PC games developed by Hudson Soft, have you heard of Super Bomberman?",(0: da) (31: platforms) (53: developer) (85: name)
"recommend(name[Super Bomberman], developer[Hudson Soft], platforms[PC])",One Hudson Soft game for the PC that I enjoyed was Super Bomberman. Have you heard of it?,(0: da) (4: developer) (29: platforms) (51: name)
"give_opinion(name[Diablo II], rating[good], genres[hack-and-slash, role-playing], player_perspective[bird view])","Diablo II is a really good entry in the hack-and-slash RPG genre. You don't see many bird view games these days, which is sad.",(0: da) (0: name) (22: rating) (40: genres) (86: playerperspective)
"give_opinion(name[Diablo II], rating[good], genres[hack-and-slash, role-playing], player_perspective[bird view])","I think that hack-and-slash RPGs can be a bit mindless and repetitive, but with a bird view perspective they're usually pretty fun anyways. So I enjoyed playing Diablo II.",(0: da) (13: genres) (82: playerperspective) (128: rating) (164: name)
"give_opinion(name[Diablo II], rating[good], genres[hack-and-slash, role-playing], player_perspective[bird view])","Diablo II is a pretty good game, because the hack-and-slash RPG gameplay is fun and the bird view perspective makes it easy to play.",(0: da) (0: name) (22: rating) (46: genres) (88: playerperspective)
"request(has_multiplayer[yes], specifier[dull])",What's the most dull multiplayer game you've ever played?,(0: da) (17: specifier) (22: hasmultiplayer)
"request(has_multiplayer[yes], specifier[dull])",Have you played a multiplayer game recently that was totally dull?,(0: da) (18: hasmultiplayer) (61: specifier)
"request(has_multiplayer[yes], specifier[dull])",So what's a game with multiplayer that you just found to be dull?,(0: da) (23: hasmultiplayer) (61: specifier)
"give_opinion(name[Rollcage], rating[average], genres[action, driving/racing], platforms[PC])","I thought Rollcage was decent. It's OK for an action racing PC game that you might occasionally want to play, but it's just nothing spectacular.",(0: da) (10: name) (23: rating) (48: genres) (61: platforms)
"give_opinion(name[Rollcage], rating[average], genres[action, driving/racing], platforms[PC])","Rollcage gave me an all-around average action racing experience on my PC, but it's not a game I would play regularly.",(0: da) (0: name) (31: rating) (39: genres) (70: platforms)
"give_opinion(name[Rollcage], rating[average], genres[action, driving/racing], platforms[PC])","Rollcage isn't awful, but could have been better. Action racing games can be really good, but the PC is just not the right platform for them.",(0: da) (0: name) (53: genres) (99: platforms)
